2/12/2017,1124.4430
3/12/2017,231.9900
10/5/2016,1315.0000
10/7/2016,3353.0000
6/30/2016,3085.0000
4/11/2016,979.0000
8/31/2016,2396.0000
9/23/2016,1052.0000
9/29/2016,3293.0000
9/4/2016,2867.0000
3/13/2016,965.0000
1/25/2016,3212.0000
10/10/2016,1074.0000
12/12/2016,2560.0000
5/19/2016,2371.0000
7/6/2016,988.0000
12/24/2016,2388.0000
7/31/2016,2504.0000
6/1/2016,2290.0000
12/16/2016,2221.0000
5/12/2016,2755.0000
9/8/2016,2463.0000
11/5/2016,3383.0000
11/10/2016,1746.0000
12/15/2016,3165.0000
6/5/2016,3331.0000
6/10/2016,1889.0000
9/13/2016,2316.0000
11/26/2016,2656.0000
9/9/2016,2071.0000
6/9/2016,2741.0000
7/20/2016,2207.0000
10/2/2016,2836.0000
1/18/2016,2199.0000
5/25/2016,1610.0000
7/21/2016,2514.0000
8/15/2016,2939.0000
7/19/2016,2876.0000
6/9/2016,2970.0000
9/3/2016,1047.0000
4/30/2016,3291.0000
1/12/2016,1743.0000
6/11/2016,2226.0000
10/5/2016,1812.0000
3/9/2016,3359.0000
3/21/2016,944.0000
8/18/2016,3189.0000
5/27/2016,1546.0000
6/20/2016,1838.0000
4/1/2016,1783.0000
11/25/2016,3042.0000
